ruc,razon_social,tipo_contribuyente,profesion_oficio,nombre_comercial,condicion_contribuyente,estado_contribuyente,fecha_inscripcion,fecha_inicio_actividades,departamento,provincia,distrito,direccion,telefono,fax,actividad_comercio_exterior,ciiu_principal,ciiu_secundario_1,ciiu_secundario_2,afecto_nuevo_rus,buen_contribuyente,agente_retencion,agente_percepcion_venta_interna,agente_percepcion_combustible,fecha_consulta
20448031358,ASOCIACION DE PRODUCTORES DE PAPAYA ANDINA ORGÁNICA DE LA PROVINCIA DE SANDIA,ASOCIACION,,,NO HABIDO,BAJA DE OFICIO,2011-11-21,2011-11-21,PUNO,SANDIA,SANDIA,JR. LIMA NRO. 322,,,SIN ACTIVIDAD,CULTIVO DE FRUTAS.,ELAB DE OTROS PROD. ALIMENTICIOS.,,NO,,,,,2026-09-19T21:49:12.014Z
20448277781,COOPERATIVA AGRARIA INDUSTRIALIZADA CABANA LTDA,"COOPERATIVAS, SAIS, CAPS",,COOPAIN CABANA,HABIDO,ACTIVO,2011-02-16,2011-03-01,PUNO,SAN ROMAN,CABANA,JR. LIMA NRO. SN (INGRESO DEL DISTRITO DE CABANA),,,IMPORTADOR/EXPORTADOR,EXPLOTACION MIXTA.,ELAB. DE PRODUCTOS DE MOLINERIA.,ELAB. PROD. DE PANADERIA.,NO,,,,,2026-09-19T21:44:11.515Z
20448748902,INDUSTRIAS AGROALIMENTOS EL ESTABLO SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA,SOC.COM.RESPONS. LTDA,,,HABIDO,ACTIVO,2013-06-07,2013-09-05,PUNO,LAMPA,LAMPA,DOBLE CANCHA TIKA ESKINA KM. 24 C.C. DE CATACHA (CARRETERA JULIACA LAMPA KM 24),,,SIN ACTIVIDAD,ELAB DE OTROS PROD. ALIMENTICIOS.,,,NO,"SI, incorporado al Régimen de Buenos Contribuyentes (Resolución N° 2130050004348) a partir del 01/02/2017",,,,2026-09-19T21:44:11.515Z
20448766471,COOPERATIVA DE SERVICIOS SAN SANTIAGO - ACORA,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2013-07-08,2014-03-20,PUNO,PUNO,ACORA,CAR. PUNO-DESAGUADERO KM. 1397 SEC. WISCALLPUTI CARITAMAYA (EN LA MISMA MUNICIPALIDAD DE CARITAMAYA),,,SIN ACTIVIDAD,ELAB DE PRODUCTOS LACTEOS.,"SERVICIOS AGRICOLAS, GANADERAS.",EXPLOTACION MIXTA.,NO,,,,,2026-09-19T21:44:11.515Z
20448791310,COOPERATIVA AGROINDUSTRIAL DE PRODUCTORES AGROPECUARIOS CABANA LIMITADA,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2013-08-22,2013-08-22,PUNO,SAN ROMAN,CABANA,AV. SANTA ASUNCION NRO. SN CABANA (AL COSTADO DE I.E.PRIMARIA 70556),,,SIN ACTIVIDAD,ELAB DE PRODUCTOS LACTEOS.,OTRAS ACTIVIDADES EMPRESARIALES NCP.,,NO,,,,,2026-09-19T21:44:11.515Z
20448807500,CONSORCIO ALPAQUERO PERU EXPORT,CONTRATOS COLABORACION EMPRESARIAL,,,HABIDO,SUSPENSION TEMPORAL,2013-09-20,2013-09-20,PUNO,SAN ROMAN,JULIACA,JR. AZANGARO NRO. 338 BARRIO ZARUMILLA (CERCA AL COLEGIO DE ABOGADOS),,,EXPORTADOR,CRIA DE GANADO.,,,NO,,,,,2026-09-19T21:49:12.014Z
20448843051,ASOCIACION DE PRODUCTORES AGROPECUARIOS PIEDRA BLANCA DE CHALLAPAMPA,ASOCIACION,,,HABIDO,ACTIVO,2020-11-23,2020-12-01,PUNO,YUNGUYO,COPANI,YUNGUYO - COPANI SAM 38 NRO. -- (SECTOR MARCACHANI),,,SIN ACTIVIDAD,CRIA DE GANADO.,EXPLOTACION MIXTA.,,NO,,,,,2026-09-19T21:38:03.020Z
20449558902,ASOCIACION CIVIL DE MANTENIMIENTO VIAL Y DESARROLLO AGROPECUARIO CALVARIO,ASOCIACION,,,HABIDO,ACTIVO,1999-11-09,1999-11-15,AYACUCHO,LA MAR,SAN MIGUEL,NRO. S/N CONCEJO MENOR PATIBAMBA (CENTRO POBLADO DE PATIBAMBA),,,SIN ACTIVIDAD,CONSTRUCCION EDIFICIOS COMPLETOS.,EXPLOTACION MIXTA.,,NO,,,,,2026-09-19T21:35:37.435Z
20450105113,COOPERATIVA AGRARIA DEL PALMITO APROPAL,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,2007-05-29,2007-06-01,SAN MARTIN,LAMAS,CAYNARACHI,AV. LA MARGINAL NRO. 177 BAR. SAN MARTIN -CPM.ALIANZA (C.P.M. ALIANZA / CERCA A PAMPA HERMOSA),,,IMPORTADOR/EXPORTADOR,"ELAB. FRUTAS, LEG. Y HORTALIZAS.",OTROS TIPOS DE VENTA AL POR MENOR.,CULTIVO DE HORTALIZAS Y LEGUMBRES.,NO,"SI, incorporado al Régimen de Buenos Contribuyentes (Resolución N° 1830050014304) a partir del 01/02/2022",,,,2026-09-19T21:42:35.997Z
20450189201,COOPERATIVA DE SERVICIOS MULTIPLES FRUTOS DE SELVA,"COOPERATIVAS, SAIS, CAPS",,FRUTOS DE SELVA,HABIDO,ACTIVO,2006-12-05,2006-12-05,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,CAR. FERNANDO BELAUNDE TERRY KM. 491 SEC. PERLA DE INDAÑE,,,IMPORTADOR/EXPORTADOR,"SERVICIOS AGRICOLAS, GANADERAS.",TRANSPORTE  DE CARGA POR CARRETERA.,,NO,,,,,2026-09-19T21:44:11.515Z
